id,titre,duree,prix,transport,description,note,date_ajout
1,Circuit Japon,15,4789,bateau/avion,Le voyage débute à Kyoto...,4.8,2024-03-01
2,Circuit Egypte,20,5989,bateau,Le voyage débute au Caire...,4.6,2024-03-05
3,Circuit Italie,11,2289,train,Bienvenue à Gênes...,4.5,2024-03-10
4,Circuit UK,8,1800,bus/train,Votre voyage commence à Bath...,4.7,2024-03-15
5,Circuit Mexique,13,3999,bus/avion,Découvrez les sites mayas les plus impressionnants du Mexique. De Chichen Itza à Tulum...,4.6,2024-03-16
6,Circuit Grèce,10,2599,bateau,Un voyage au cœur de la Grèce antique entre Athènes Delphes et Olympie...,4.7,2024-03-17
7,Circuit Tibet,16,4299,train/bus,Découvrez les monastères du toit du monde et la culture tibétaine...,4.7,2024-03-18
8,Circuit Cambodge,12,3499,bus/bateau,Explorez les temples d'Angkor et découvrez l'histoire des Khmers...,4.5,2024-03-19
9,Circuit Jordanie,9,2899,4x4/bus,De Petra à la Mer Morte en passant par le désert du Wadi Rum...,4.8,2024-03-20
10,Circuit Inde du Sud,14,3799,train,Kerala backwaters et temples dravidiens du Tamil Nadu...,4.4,2024-03-21
11,Circuit Vietnam,15,3699,train/bateau,Du delta du Mékong à la baie d'Halong...,4.6,2024-03-22
12,Circuit Turquie,11,2999,bus/bateau,Istanbul Cappadoce et côte lycienne...,4.7,2024-03-23
13,Circuit Iran,12,3299,train/bus,Sur les traces de l'Empire perse de Persépolis à Ispahan...,4.5,2024-03-24
14,Circuit Ouzbékistan,10,2899,train,La route de la soie: Samarcande Boukhara et Khiva...,4.6,2024-03-25
15,Circuit Russie,18,4899,train,Le Transsibérien de Moscou à Vladivostok...,4.5,2024-03-26
16,Circuit Mongolie,14,3999,4x4/train,Les steppes mongoles et la vie nomade...,4.6,2024-03-27
17,Circuit Népal,15,3799,bus/avion,Trek dans l'Himalaya et découverte des temples de Katmandou...,4.7,2024-03-28
